"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Fabrication de glaces et sorbets (NAF rév. 2, niveau classe, poste 10.52)";"Codes"
"idBank";"010537265";""
"Période";"";""
"2020-03";"121.88";"A"
"2020-02";"119.4";"A"
"2020-01";"89.3";"A"
"2019-12";"29.96";"A"
"2019-11";"63.26";"A"
"2019-10";"67.12";"A"
"2019-09";"74.91";"A"
"2019-08";"96.39";"A"
"2019-07";"127.79";"A"
"2019-06";"134.87";"A"
"2019-05";"145.76";"A"
"2019-04";"153.11";"A"
"2019-03";"152.85";"A"
"2019-02";"117.85";"A"
"2019-01";"87.38";"A"
"2018-12";"37.26";"A"
"2018-11";"59.06";"A"
"2018-10";"65.15";"A"
"2018-09";"77.15";"A"
"2018-08";"101.14";"A"
"2018-07";"126.56";"A"
"2018-06";"155.65";"A"
"2018-05";"144.21";"A"
"2018-04";"139.45";"A"
"2018-03";"150.45";"A"
"2018-02";"114.81";"A"
"2018-01";"91.18";"A"
"2017-12";"27.16";"A"
"2017-11";"56.42";"A"
"2017-10";"57.98";"A"
"2017-09";"63.02";"A"
"2017-08";"95.25";"A"
"2017-07";"149.9";"A"
"2017-06";"157.36";"A"
"2017-05";"146.61";"A"
"2017-04";"151.88";"A"
"2017-03";"141.48";"A"
"2017-02";"117.67";"A"
"2017-01";"101.78";"A"
"2016-12";"36.26";"A"
"2016-11";"72.49";"A"
"2016-10";"56.35";"A"
"2016-09";"74.93";"A"
"2016-08";"82.47";"A"
"2016-07";"106.31";"A"
"2016-06";"143.99";"A"
"2016-05";"130.43";"A"
"2016-04";"160.61";"A"
"2016-03";"153.56";"A"
"2016-02";"118.79";"A"
"2016-01";"81.69";"A"
"2015-12";"39.55";"A"
"2015-11";"46.46";"A"
"2015-10";"64.19";"A"
"2015-09";"62.07";"A"
"2015-08";"92.0";"A"
"2015-07";"156.4";"A"
"2015-06";"153.23";"A"
"2015-05";"124.9";"A"
"2015-04";"137.81";"A"
"2015-03";"131.5";"A"
"2015-02";"106.43";"A"
"2015-01";"85.48";"A"
"2014-12";"37.91";"A"
"2014-11";"55.18";"A"
"2014-10";"54.88";"A"
"2014-09";"60.64";"A"
"2014-08";"65.14";"A"
"2014-07";"149.08";"A"
"2014-06";"134.76";"A"
"2014-05";"122.78";"A"
"2014-04";"135.89";"A"
"2014-03";"115.66";"A"
"2014-02";"96.2";"A"
"2014-01";"81.81";"A"
"2013-12";"38.73";"A"
"2013-11";"50.7";"A"
"2013-10";"70.09";"A"
"2013-09";"78.14";"A"
"2013-08";"92.92";"A"
"2013-07";"105.54";"A"
"2013-06";"102.07";"A"
"2013-05";"113.55";"A"
"2013-04";"146.76";"A"
"2013-03";"115.22";"A"
"2013-02";"113.47";"A"
"2013-01";"85.48";"A"
"2012-12";"35.12";"A"
"2012-11";"60.55";"A"
"2012-10";"66.82";"A"
"2012-09";"72.35";"A"
"2012-08";"69.38";"A"
"2012-07";"101.36";"A"
"2012-06";"133.2";"A"
"2012-05";"122.32";"A"
"2012-04";"151.63";"A"
"2012-03";"124.06";"A"
"2012-02";"103.47";"A"
"2012-01";"88.01";"A"
"2011-12";"37.35";"A"
"2011-11";"53.21";"A"
"2011-10";"45.34";"A"
"2011-09";"64.73";"A"
"2011-08";"47.72";"A"
"2011-07";"114.72";"A"
"2011-06";"148.53";"A"
"2011-05";"156.4";"A"
"2011-04";"133.65";"A"
"2011-03";"131.08";"A"
"2011-02";"93.73";"A"
"2011-01";"75.65";"A"
"2010-12";"33.52";"A"
"2010-11";"47.52";"A"
"2010-10";"59.06";"A"
"2010-09";"72.4";"A"
"2010-08";"86.37";"A"
"2010-07";"120.47";"A"
"2010-06";"135.9";"A"
"2010-05";"132.56";"A"
"2010-04";"129.75";"A"
"2010-03";"138.05";"A"
"2010-02";"100.73";"A"
"2010-01";"83.38";"A"
"2009-12";"38.41";"A"
"2009-11";"55.78";"A"
"2009-10";"50.9";"A"
"2009-09";"77.46";"A"
"2009-08";"73.08";"A"
"2009-07";"115.25";"A"
"2009-06";"145.73";"A"
"2009-05";"123.83";"A"
"2009-04";"132.19";"A"
"2009-03";"104.05";"A"
"2009-02";"88.79";"A"
"2009-01";"51.86";"A"
"2008-12";"50.48";"A"
"2008-11";"58.62";"A"
"2008-10";"59.92";"A"
"2008-09";"79.74";"A"
"2008-08";"79.03";"A"
"2008-07";"141.84";"A"
"2008-06";"162.48";"A"
"2008-05";"151.54";"A"
"2008-04";"153.21";"A"
"2008-03";"116.45";"A"
"2008-02";"86.68";"A"
"2008-01";"80.03";"A"
"2007-12";"52.48";"A"
"2007-11";"62.5";"A"
"2007-10";"62.19";"A"
"2007-09";"76.8";"A"
"2007-08";"84.07";"A"
"2007-07";"139.33";"A"
"2007-06";"162.82";"A"
"2007-05";"149.86";"A"
"2007-04";"145.89";"A"
"2007-03";"114.65";"A"
"2007-02";"79.16";"A"
"2007-01";"76.03";"A"
"2006-12";"50.64";"A"
"2006-11";"61.59";"A"
"2006-10";"59.93";"A"
"2006-09";"77.68";"A"
"2006-08";"83.0";"A"
"2006-07";"129.35";"A"
"2006-06";"165.01";"A"
"2006-05";"152.49";"A"
"2006-04";"140.04";"A"
"2006-03";"117.16";"A"
"2006-02";"78.74";"A"
"2006-01";"73.25";"A"
"2005-12";"51.62";"A"
"2005-11";"60.93";"A"
"2005-10";"58.05";"A"
"2005-09";"79.02";"A"
"2005-08";"82.9";"A"
"2005-07";"128.95";"A"
"2005-06";"166.4";"A"
"2005-05";"150.37";"A"
"2005-04";"146.79";"A"
"2005-03";"116.64";"A"
"2005-02";"79.15";"A"
"2005-01";"72.27";"A"
"2004-12";"52.94";"A"
"2004-11";"60.98";"A"
"2004-10";"58.13";"A"
"2004-09";"79.65";"A"
"2004-08";"80.1";"A"
"2004-07";"135.19";"A"
"2004-06";"167.76";"A"
"2004-05";"145.04";"A"
"2004-04";"149.17";"A"
"2004-03";"114.9";"A"
"2004-02";"78.33";"A"
"2004-01";"72.94";"A"
"2003-12";"52.13";"A"
"2003-11";"57.45";"A"
"2003-10";"60.57";"A"
"2003-09";"78.74";"A"
"2003-08";"76.75";"A"
"2003-07";"136.53";"A"
"2003-06";"158.86";"A"
"2003-05";"151.16";"A"
"2003-04";"151.04";"A"
"2003-03";"110.21";"A"
"2003-02";"77.74";"A"
"2003-01";"73.62";"A"
"2002-12";"49.69";"A"
"2002-11";"58.07";"A"
"2002-10";"60.06";"A"
"2002-09";"75.46";"A"
"2002-08";"79.95";"A"
"2002-07";"138.57";"A"
"2002-06";"159.49";"A"
"2002-05";"153.79";"A"
"2002-04";"149.2";"A"
"2002-03";"112.33";"A"
"2002-02";"78.61";"A"
"2002-01";"75.16";"A"
"2001-12";"49.03";"A"
"2001-11";"59.83";"A"
"2001-10";"60.74";"A"
"2001-09";"73.88";"A"
"2001-08";"82.16";"A"
"2001-07";"133.0";"A"
"2001-06";"162.23";"A"
"2001-05";"151.29";"A"
"2001-04";"141.98";"A"
"2001-03";"114.03";"A"
"2001-02";"76.85";"A"
"2001-01";"71.85";"A"
"2000-12";"49.39";"A"
"2000-11";"58.35";"A"
"2000-10";"56.98";"A"
"2000-09";"75.22";"A"
"2000-08";"79.96";"A"
"2000-07";"128.76";"A"
"2000-06";"159.52";"A"
"2000-05";"148.53";"A"
"2000-04";"138.48";"A"
"2000-03";"115.16";"A"
"2000-02";"79.62";"A"
"2000-01";"68.03";"A"
"1999-12";"50.44";"A"
"1999-11";"57.64";"A"
"1999-10";"55.45";"A"
"1999-09";"76.0";"A"
"1999-08";"76.81";"A"
"1999-07";"131.06";"A"
"1999-06";"160.41";"A"
"1999-05";"140.72";"A"
"1999-04";"143.03";"A"
"1999-03";"114.73";"A"
"1999-02";"76.43";"A"
"1999-01";"68.97";"A"
"1998-12";"49.81";"A"
"1998-11";"56.09";"A"
"1998-10";"56.49";"A"
"1998-09";"75.73";"A"
"1998-08";"74.97";"A"
"1998-07";"132.18";"A"
"1998-06";"159.31";"A"
"1998-05";"140.42";"A"
"1998-04";"142.96";"A"
"1998-03";"109.64";"A"
"1998-02";"74.09";"A"
"1998-01";"69.04";"A"
"1997-12";"48.01";"A"
"1997-11";"52.55";"A"
"1997-10";"55.26";"A"
"1997-09";"71.81";"A"
"1997-08";"71.72";"A"
"1997-07";"130.32";"A"
"1997-06";"150.83";"A"
"1997-05";"139.74";"A"
"1997-04";"139.82";"A"
"1997-03";"100.8";"A"
"1997-02";"70.88";"A"
"1997-01";"66.79";"A"
"1996-12";"44.91";"A"
"1996-11";"52.09";"A"
"1996-10";"54.61";"A"
"1996-09";"68.79";"A"
"1996-08";"72.91";"A"
"1996-07";"127.19";"A"
"1996-06";"146.7";"A"
"1996-05";"139.01";"A"
"1996-04";"136.84";"A"
"1996-03";"101.68";"A"
"1996-02";"73.86";"A"
"1996-01";"66.79";"A"
"1995-12";"45.19";"A"
"1995-11";"54.37";"A"
"1995-10";"54.15";"A"
"1995-09";"69.89";"A"
"1995-08";"73.52";"A"
"1995-07";"119.67";"A"
"1995-06";"156.25";"A"
"1995-05";"142.48";"A"
"1995-04";"131.75";"A"
"1995-03";"106.31";"A"
"1995-02";"70.63";"A"
"1995-01";"64.92";"A"
"1994-12";"46.11";"A"
"1994-11";"53.48";"A"
"1994-10";"52.1";"A"
"1994-09";"70.53";"A"
"1994-08";"71.85";"A"
"1994-07";"115.13";"A"
"1994-06";"148.88";"A"
"1994-05";"133.95";"A"
"1994-04";"129.14";"A"
"1994-03";"103.41";"A"
"1994-02";"68.46";"A"
"1994-01";"61.2";"A"
"1993-12";"45.02";"A"
"1993-11";"51.04";"A"
"1993-10";"49.54";"A"
"1993-09";"67.38";"A"
"1993-08";"69.97";"A"
"1993-07";"120.42";"A"
"1993-06";"149.2";"A"
"1993-05";"128.57";"A"
"1993-04";"131.29";"A"
"1993-03";"103.35";"A"
"1993-02";"67.81";"A"
"1993-01";"59.86";"A"
"1992-12";"43.19";"A"
"1992-11";"48.4";"A"
"1992-10";"49.6";"A"
"1992-09";"66.33";"A"
"1992-08";"66.21";"A"
"1992-07";"119.84";"A"
"1992-06";"144.39";"A"
"1992-05";"125.64";"A"
"1992-04";"129.27";"A"
"1992-03";"97.42";"A"
"1992-02";"68.7";"A"
"1992-01";"62.06";"A"
"1991-12";"41.94";"A"
"1991-11";"48.67";"A"
"1991-10";"51.25";"A"
"1991-09";"63.12";"A"
"1991-08";"68.74";"A"
"1991-07";"122.55";"A"
"1991-06";"142.63";"A"
"1991-05";"133.85";"A"
"1991-04";"128.07";"A"
"1991-03";"94.28";"A"
"1991-02";"65.14";"A"
"1991-01";"62.26";"A"
"1990-12";"40.75";"A"
"1990-11";"48.6";"A"
"1990-10";"50.32";"A"
"1990-09";"59.98";"A"
"1990-08";"67.93";"A"
"1990-07";"120.02";"A"
"1990-06";"142.72";"A"
"1990-05";"134.54";"A"
"1990-04";"126.71";"A"
"1990-03";"99.32";"A"
"1990-02";"65.39";"A"
"1990-01";"60.21";"A"
